cue_id,source_family,acquisition_role_hint,source_category,commons_pageid,commons_title,source_page_url,media_url,thumbnail_url,media_type,width,height,creator,license_short,license_url,usage_terms,attribution,credit,description,date_time_original,retrieved_at,acquisition_only_not_ground_truth,short_side,flag_low_resolution,flag_tiny,flag_non_raster,flag_missing_creator,flag_missing_description,flag_missing_source_url,flag_missing_thumbnail,flag_nonstandard_license,flag_archival_or_diagram,technical_pass,n_hard_flags,n_soft_flags,manual_review_priority
commons-0153,buddhist,household_display,Category:Butsudan,19038327,File:Butsudan Kyoto March 2011.JPG,https://commons.wikimedia.org/wiki/File:Butsudan_Kyoto_March_2011.JPG,https://upload.wikimedia.org/wikipedia/commons/3/35/Butsudan_Kyoto_March_2011.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/3/35/Butsudan_Kyoto_March_2011.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,image/jpeg,334,500,Lindsaywburnette,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Creative Commons Attribution-Share Alike 3.0,,Own work,"Photograph of a Butsudan, a Buddhist shrine for ancestor worship, taken in Yawata, Kyoto",2011-03-02,2026-09-23T09:57:56.351731+00:00,True,334,True,True,False,False,False,False,False,False,False,False,1,0,10
commons-0171,buddhist,votive_object,Category:Ema (Buddhism),33699593,File:Ema with Tachibana (Tendaiji Ninohe).jpg,https://commons.wikimedia.org/wiki/File:Ema_with_Tachibana_(Tendaiji_Ninohe).jpg,https://upload.wikimedia.org/wikipedia/commons/0/08/Ema_with_Tachibana_%28Tendaiji_Ninohe%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/0/08/Ema_with_Tachibana_%28Tendaiji_Ninohe%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,image/jpeg,294,443,Anonymous Edo-period artist,Public domain,,Public domain,,http://www.bunka.pref.iwate.jp/ciss/bunkazai/detail/id/149,"Large Ema with Tachibana, Tendaiji, Ninohe, Iwate, Japan",C18,2026-09-23T09:57:56.351731+00:00,True,294,True,True,False,False,False,False,False,False,False,False,1,0,10
commons-0185,buddhist,architecture_context,Category:Buddhist temples in Japan,76168257,File:Moya hisashi az.svg,https://commons.wikimedia.org/wiki/File:Moya_hisashi_az.svg,https://upload.wikimedia.org/wikipedia/commons/b/bb/Moya_hisashi_az.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/bb/Moya_hisashi_az.svg/960px-Moya_hisashi_az.svg.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,image/svg+xml,600,600,Moya hisashi.svg : User:Urashimataro derivative work: White Demon,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Creative Commons Attribution-Share Alike 3.0,,This file was derived from: Moya hisashi.svg :,Moya və hisaşi diaqramla,2019-01-28,2026-09-23T09:57:56.351731+00:00,True,600,True,False,True,False,False,False,False,False,False,False,2,0,10
commons-0077,mixed,portable_object,Category:Omamori,212007,File:Amulette-japonaise.jpg,https://commons.wikimedia.org/wiki/File:Amulette-japonaise.jpg,https://upload.wikimedia.org/wikipedia/commons/3/32/Amulette-japonaise.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://thumb.wikimedia.org/wikipedia/commons/thumb/3/32/Amulette-japonaise.jpg/960px-Amulette-japonaise.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,image/jpeg,1064,1876,Rama,CeCILL,http://www.cecill.info/licences/Licence_CeCILL_V2-en.html,CEA CNRS INRIA Logiciel Libre,,Own work,Japanese amulet,"Taken on 10 June 2005, 18:58 (according to Exif data)",2026-09-23T09:57:56.351731+00:00,True,1064,False,False,False,False,False,False,False,True,False,False,1,0,10
commons-0079,mixed,portable_object,Category:Omamori,6355626,File:Jishu-Omamori.jpg,https://commons.wikimedia.org/wiki/File:Jishu-Omamori.jpg,https://upload.wikimedia.org/wikipedia/commons/a/ae/Jishu-Omamori.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/ae/Jishu-Omamori.jpg/960px-Jishu-Omamori.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,image/jpeg,1000,594,Fg2,Public domain,,Public domain,,Own work by uploader. I took this photograph and contribute my rights in the file to the public domain. Individuals and organizations retain rights to images in the file.,"Omamori at Jishu Shrine in Kyoto, Japan 地主神社",Not recorded; circa 1995,2026-09-23T09:57:56.351731+00:00,True,594,True,False,False,False,False,False,False,False,False,False,1,0,10
commons-0088,mixed,portable_object,Category:Omamori,69481466,File:Houinmamori 01.jpg,https://commons.wikimedia.org/wiki/File:Houinmamori_01.jpg,https://upload.wikimedia.org/wikipedia/commons/c/ce/Houinmamori_01.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/c/ce/Houinmamori_01.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,image/jpeg,381,645,Dokudami,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Creative Commons Attribution-Share Alike 4.0,,Own work,観自在寺の宝印守,2018-05-27,2026-09-23T09:57:56.351731+00:00,True,381,True,True,False,False,False,False,False,False,False,False,1,0,10
commons-0090,mixed,portable_object,Category:Omamori,114827679,"File:A shrine maiden distributes charms Omiya Hachimangu Shrine in Suginami, Tokyo.jpg","https://commons.wikimedia.org/wiki/File:A_shrine_maiden_distributes_charms_Omiya_Hachimangu_Shrine_in_Suginami,_Tokyo.jpg",https://upload.wikimedia.org/wikipedia/commons/1/11/A_shrine_maiden_distributes_charms_Omiya_Hachimangu_Shrine_in_Suginami%2C_Tokyo.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/1/11/A_shrine_maiden_distributes_charms_Omiya_Hachimangu_Shrine_in_Suginami%2C_Tokyo.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,image/jpeg,715,953,Yukiusa,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Creative Commons Attribution-Share Alike 4.0,,Own work,"A shrine maiden distributes charms during the Shichigosan Pilgrimage at Omiya Hachimangu Shrine in Suginami, Tokyo.",2016-11-15,2026-09-23T09:57:56.351731+00:00,True,715,True,False,False,False,False,False,False,False,False,False,1,0,10
commons-0098,mixed,textual_object,Category:Omikuji,31403253,File:Birthday Horoscopes.jpg,https://commons.wikimedia.org/wiki/File:Birthday_Horoscopes.jpg,https://upload.wikimedia.org/wikipedia/commons/2/29/Birthday_Horoscopes.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/2/29/Birthday_Horoscopes.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,image/jpeg,612,612,Yuko Honda,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,Creative Commons Attribution-Share Alike 2.0,,Flickr : a stand of your fortune. あなたの運勢。,other,2012-01-04 01:06:10,2026-09-23T09:57:56.351731+00:00,True,612,True,False,False,False,False,False,False,False,False,False,1,0,10
commons-0124,mixed,purification_installation,Category:Chōzuya,137463677,File:Chinnan Shrine Chōzuya.jpg,https://commons.wikimedia.org/wiki/File:Chinnan_Shrine_Ch%C5%8Dzuya.jpg,https://upload.wikimedia.org/wikipedia/commons/9/96/Chinnan_Shrine_Ch%C5%8Dzuya.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/9/96/Chinnan_Shrine_Ch%C5%8Dzuya.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,image/jpeg,658,587,Unknown Photographer,Public domain,,Public domain,,今西君代「鎮南神社建立裏方の思い出」（ジャワマラン会編『鳴動ジャワマラン会誌』18 頁、1982 年 12 月）,Chinnan Shrine's Chōzuya can be seen in the front-right of the shrine. The worship hall of Chinnan Shrine can be seen on the rear left.,1944,2026-09-23T09:57:56.351731+00:00,True,587,True,False,False,False,False,False,False,False,False,False,1,0,10
commons-0244,secular_control,street_object,Category:Bus stops in Japan,121344357,File:バスロケーションシステム初期型.jpg,https://commons.wikimedia.org/wiki/File:%E3%83%90%E3%82%B9%E3%83%AD%E3%82%B1%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%82%B7%E3%82%B9%E3%83%86%E3%83%A0%E5%88%9D%E6%9C%9F%E5%9E%8B.jpg,https://upload.wikimedia.org/wikipedia/commons/8/82/%E3%83%90%E3%82%B9%E3%83%AD%E3%82%B1%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%82%B7%E3%82%B9%E3%83%86%E3%83%A0%E5%88%9D%E6%9C%9F%E5%9E%8B.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/8/82/%E3%83%90%E3%82%B9%E3%83%AD%E3%82%B1%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%82%B7%E3%82%B9%E3%83%86%E3%83%A0%E5%88%9D%E6%9C%9F%E5%9E%8B.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,image/jpeg,240,320,GOODPRO ( talk · contribs ),CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,Creative Commons Attribution-Share Alike 3.0,,Own work,ファイルネームの日付に撮影。 ja:バスロケーションシステム 初期型 GOODPRO 撮影。,,2026-09-23T09:57:56.351731+00:00,True,240,True,True,False,False,False,False,False,False,False,False,1,0,10
commons-0280,secular_control,household_display,Category:Tokonoma,63426334,File:Culto do chá p96.png,https://commons.wikimedia.org/wiki/File:Culto_do_ch%C3%A1_p96.png,https://upload.wikimedia.org/wikipedia/commons/4/4b/Culto_do_ch%C3%A1_p96.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/4/4b/Culto_do_ch%C3%A1_p96.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,image/png,572,615,Yoshiaki Utagawa,Public domain,,Public domain,,O culto do chá,Ilustração na obra O culto do chá .,1905,2026-09-23T09:57:56.351731+00:00,True,572,True,False,False,False,False,False,False,False,False,False,1,0,10
commons-0308,secular_control,street_object,Category:Vending machines in Kyoto,128684454,File:E-40 （イーフォーティ）操作部.jpg,https://commons.wikimedia.org/wiki/File:E-40_%EF%BC%88%E3%82%A4%E3%83%BC%E3%83%95%E3%82%A9%E3%83%BC%E3%83%86%E3%82%A3%EF%BC%89%E6%93%8D%E4%BD%9C%E9%83%A8.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f1/E-40_%EF%BC%88%E3%82%A4%E3%83%BC%E3%83%95%E3%82%A9%E3%83%BC%E3%83%86%E3%82%A3%EF%BC%89%E6%93%8D%E4%BD%9C%E9%83%A8.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f1/E-40_%EF%BC%88%E3%82%A4%E3%83%BC%E3%83%95%E3%82%A9%E3%83%BC%E3%83%86%E3%82%A3%EF%BC%89%E6%93%8D%E4%BD%9C%E9%83%A8.jpg/960px-E-40_%EF%BC%88%E3%82%A4%E3%83%BC%E3%83%95%E3%82%A9%E3%83%BC%E3%83%86%E3%82%A3%EF%BC%89%E6%93%8D%E4%BD%9C%E9%83%A8.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,image/jpeg,1024,683,Sandwich,Public domain,,Public domain,,Sandwich本人が撮影,日本コカ･コーラのベンダーe-40 （イーフォーティ）操作部,2008-11-24,2026-09-23T09:57:56.351731+00:00,True,683,True,False,False,False,False,False,False,False,False,False,1,0,10
commons-0011,shinto,threshold,Category:Torii in Japan,66354203,File:Kamotsuba Jinja Torii.jpg,https://commons.wikimedia.org/wiki/File:Kamotsuba_Jinja_Torii.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c2/Kamotsuba_Jinja_Torii.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c2/Kamotsuba_Jinja_Torii.jpg/960px-Kamotsuba_Jinja_Torii.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,image/jpeg,1024,576,Zeter114514,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Creative Commons Attribution-Share Alike 4.0,,Own work,鴨都波神社鳥居,2018-02-11,2026-09-23T09:57:56.351731+00:00,True,576,True,False,False,False,False,False,False,False,False,False,1,0,10
commons-0016,shinto,threshold,Category:Torii in Japan,112488358,File:Joyo banner.jpg,https://commons.wikimedia.org/wiki/File:Joyo_banner.jpg,https://upload.wikimedia.org/wikipedia/commons/1/13/Joyo_banner.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://thumb.wikimedia.org/wikipedia/commons/thumb/1/13/Joyo_banner.jpg/960px-Joyo_banner.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,image/jpeg,3072,438,"Akeiro Torii , cropped by Tmv",CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Creative Commons Attribution-Share Alike 3.0,Akeiro Torii,https://web.archive.org/web/20161025012234/http://www.panoramio.com/photo/76189161,水主神社,29 July 2012 (original upload date),2026-09-23T09:57:56.351731+00:00,True,438,True,True,False,False,False,False,False,False,False,False,1,0,10
commons-0019,shinto,boundary_marker,Category:Shimenawa,9105650,File:Big-Okazari.jpg,https://commons.wikimedia.org/wiki/File:Big-Okazari.jpg,https://upload.wikimedia.org/wikipedia/commons/a/af/Big-Okazari.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,https://upload.wikimedia.org/wikipedia/commons/a/af/Big-Okazari.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,image/jpeg,640,480,自身編集,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,Creative Commons Attribution 3.0,,自身撮影,Japanese New Year wreath.,2010-01,2026-09-23T09:57:56.351731+00:00,True,480,True,True,False,False,False,False,False,False,False,False,1,0,10
