n_participants,n_cues,beta_interaction,power_two_way,rejection_naive,mean_beta_hat,sd_beta_hat,mean_se_two_way,mean_se_naive,se_inflation_two_way_over_naive
120,36,0.2,1.0,1.0,0.20338217561341762,0.03936874026131196,0.037613253680778995,0.01942031878559746,1.936798983375794
120,48,0.0,0.09166666666666666,0.38333333333333336,0.0013485873051685253,0.04016275971647747,0.03514261209631967,0.01649211959418482,2.1308729842531027
120,48,0.05,0.2916666666666667,0.6583333333333333,0.047099518527641264,0.03835585829694669,0.03446683228281688,0.016691483758327467,2.064935195807335
120,48,0.1,0.7416666666666667,0.95,0.09502335568631133,0.03519165164690356,0.034739452593242966,0.01652612671604266,2.10209283700577
120,48,0.15,0.9916666666666667,1.0,0.15303857368299106,0.03538057291377161,0.034540737115029314,0.01662571680989834,2.077548746317213
120,48,0.2,1.0,1.0,0.19665145448784666,0.038105434568390766,0.03498408313759836,0.0165843598572178,2.1094623753218116
120,60,0.0,0.075,0.375,-0.004655702422788578,0.03388191769551816,0.03195641862104889,0.01473501093176937,2.1687407473956717
120,60,0.05,0.36666666666666664,0.7833333333333333,0.05427734325054765,0.03805797970757795,0.03223014341640334,0.014735634447003902,2.1872246853243893
120,60,0.1,0.8666666666666667,0.9833333333333333,0.10087056333770393,0.030894535917977226,0.03204172158532322,0.0147324663655801,2.1749054632280207
120,60,0.15,1.0,1.0,0.14220212841518515,0.034489393773839805,0.032505442518607194,0.014839096842832415,2.190527015416574
120,60,0.2,1.0,1.0,0.20258588323326968,0.03381979620824709,0.03199153063721133,0.014632931086036303,2.1862694800592433
120,72,0.0,0.05,0.39166666666666666,0.0033790941964409456,0.031005986686489725,0.0303873772571932,0.013400905314914056,2.26756152238272
120,72,0.05,0.5083333333333333,0.825,0.05912979622437709,0.03442222382322321,0.03013593891574297,0.013346210177268501,2.2580147109530038
120,72,0.1,0.9416666666666667,0.9916666666666667,0.10371276426990336,0.0318652132996254,0.029941362620702957,0.013420593681880399,2.2310013498976438
120,72,0.15,1.0,1.0,0.1489981663995163,0.03319835324919516,0.030496755077956943,0.013453326436895698,2.2668560984530712
120,72,0.2,1.0,1.0,0.20207372007914665,0.03331847147192336,0.03090714066788404,0.01366389233324821,2.2619572749909636
180,36,0.0,0.1,0.44166666666666665,0.0013135474082178308,0.04006672282759974,0.03611945101652989,0.015810407697297916,2.2845363451761527
180,36,0.05,0.3333333333333333,0.7583333333333333,0.05546018010178475,0.03698131324524287,0.03547224316406598,0.015422643947977922,2.300010509463702
180,36,0.1,0.7083333333333334,0.9416666666666667,0.09351430842361545,0.043431877171994725,0.03626116037227745,0.01578276349144365,2.2975165529113966
180,36,0.15,0.9666666666666667,1.0,0.14616189361082454,0.04199361412389088,0.03604117062461703,0.01588034917498057,2.2695452239425413
180,36,0.2,1.0,1.0,0.1957412168370281,0.039809905480171076,0.03611028557540975,0.015396589947875681,2.3453430725673123
180,48,0.0,0.075,0.425,-0.0004947683475171396,0.033295926941611466,0.0330423079428125,0.013561687582123672,2.436445150555392
180,48,0.05,0.31666666666666665,0.7,0.04321960302966323,0.03284012058871803,0.03290447815897546,0.013586800521654178,2.421797398624748
180,48,0.1,0.8833333333333333,0.9833333333333333,0.10062189480522238,0.030670890049466094,0.03212541651591598,0.013394375170900308,2.3984259143128557
180,48,0.15,0.9916666666666667,1.0,0.1518743974596098,0.033687232396328044,0.03317773615766516,0.013483843223588395,2.460554873526312
180,48,0.2,1.0,1.0,0.2050441540130682,0.027204287913192453,0.03290073556830721,0.013725796705604339,2.3970000630180985
180,60,0.0,0.10833333333333334,0.525,0.002759356306052606,0.036803486990547744,0.030563305679268873,0.012133487649046133,2.5189217283022156
180,60,0.05,0.4,0.8666666666666667,0.05030073077442717,0.028461255073694704,0.029735345060364893,0.01201922068281891,2.4739827851626535
180,60,0.1,0.875,0.9916666666666667,0.09821656390032081,0.031197997915853697,0.030009986274312055,0.012040126162825073,2.4924976589506573
180,60,0.15,0.9916666666666667,1.0,0.15314067605663964,0.03256709842590794,0.02995496540043698,0.011976962805065081,2.5010485452763502
180,60,0.2,1.0,1.0,0.2027143966035978,0.03618553939352232,0.03036697512374508,0.011981836997549677,2.5344173126337157
180,72,0.0,0.058333333333333334,0.48333333333333334,-0.0024470019693634713,0.028073244168807368,0.028129071309472443,0.01092095381001383,2.575697306189488
180,72,0.05,0.45,0.8666666666666667,0.054766492669647046,0.031983999293528846,0.028383846501441656,0.010935580624634492,2.5955500193105063
180,72,0.1,0.9083333333333333,1.0,0.099472295377705,0.032459733688457185,0.02790926685439483,0.010949840060303322,2.5488287226746684
180,72,0.15,1.0,1.0,0.14889426249411902,0.0270082351394591,0.02793255993771161,0.010880815556829902,2.5671384458105537
180,72,0.2,1.0,1.0,0.20145218071028506,0.027491393560460292,0.02840047704015344,0.0111367793755531,2.5501517164375853
240,36,0.0,0.058333333333333334,0.44166666666666665,0.0023734391012706084,0.03817260015323071,0.03422519360359597,0.0134586320849813,2.5429919911242993
240,36,0.05,0.2916666666666667,0.7416666666666667,0.04718980116120235,0.037546476211530136,0.034739760014628494,0.013368477189017878,2.5986325535392316
240,36,0.1,0.8,0.925,0.09926774798753187,0.039730097912666566,0.03607538510744466,0.013655395072740278,2.641841185500412
240,36,0.15,0.9833333333333333,1.0,0.14949238949463686,0.039501503354479287,0.0345088851358814,0.013544195178493073,2.5478726997878995
240,36,0.2,1.0,1.0,0.19791648167177597,0.034706296244653934,0.03569429744774431,0.013719224278093828,2.601772281304503
240,48,0.0,0.05,0.5333333333333333,-0.0012996371750981278,0.03221731091174432,0.03242646540576278,0.011609018877884594,2.7932132548716777
240,48,0.05,0.36666666666666664,0.75,0.046476439976945956,0.03485936219246974,0.03113025270489925,0.01143430684771849,2.7225308118358513
240,48,0.1,0.8833333333333333,1.0,0.10178235628933124,0.03055903858214686,0.03166880469286941,0.011757088435787013,2.6935924541040093
240,48,0.15,0.9916666666666667,1.0,0.15054788063530938,0.03700052380975385,0.031182695027780146,0.011550959528605974,2.699576165127766
240,48,0.2,1.0,1.0,0.19462736992871119,0.03529217750224997,0.031502485292928435,0.01151381365485772,2.7360600264394086
240,60,0.0,0.058333333333333334,0.5083333333333333,0.004417663223182842,0.028550285233984604,0.028780706361498713,0.01041109110989303,2.7644274800505926
240,60,0.05,0.30833333333333335,0.8,0.04172289631178764,0.031137226252213143,0.028607786618324912,0.010401136709612119,2.750448092071252
240,60,0.1,0.8833333333333333,1.0,0.09975453553002674,0.033148061494592734,0.029087983789036678,0.010330798224006602,2.8156569471507362
240,60,0.15,1.0,1.0,0.15399696330110332,0.03258588614309262,0.02921401651214723,0.010507664511702585,2.780257827951304
240,60,0.2,1.0,1.0,0.19975280970393042,0.031477891831311604,0.02872133481307714,0.010372237475109822,2.7690587380012754
240,72,0.0,0.06666666666666667,0.575,0.002078851807592172,0.030503359382811006,0.0268683690509951,0.009427265358876351,2.8500703043960542
240,72,0.05,0.35833333333333334,0.7833333333333333,0.041567608766402156,0.02997532837273618,0.026919630376951144,0.009424135119913423,2.8564563256387654
240,72,0.1,0.975,1.0,0.10223167413823955,0.027884731754045954,0.026693631398415775,0.00942023448738905,2.833648295501643
240,72,0.15,1.0,1.0,0.15413220185550852,0.027410038560652304,0.026585771443614053,0.009409321127737425,2.82547179362842
240,72,0.2,1.0,1.0,0.20182651456142217,0.027510363436727064,0.027180063035341085,0.009417953396737502,2.8859840233183363
